Course Code,Course Title,Course Description,Level,Semester,Assessment No.
COMP1011,Introduction to Information Technology,"This course will provide the knowledge needed to formulate a sound but basic understanding of
Information Technology, its major components and its broad applications. ",1,2,4
COMP1600,Introduction to Computing Concepts,"This course will provide the knowledge needed to formulate a sound but basic understanding of
Information Technology, its major components and its broad applications. ",1,1,5
COMP1601,Computer Programming I,"This course uses an appropriate programming language as a tool to teach fundamental programming
concepts. The main concepts covered are sequence, selection and repetition logic, character and string manipulation, functions, and a basic introduction to arrays and their applications.",1,1,5
COMP1602,Computer Programming II,"This course uses an appropriate programming language as a tool to teach intermediate programming
concepts. The main concepts covered are structures, one and two dimensional arrays and applications involving searching, sorting and merging, random number generation, numerical methods, games and simulation.",1,1,5
COMP1603,Computer Programming III,"This course uses an appropriate programming language as a tool to teach intermediate programming
concepts. The main concepts covered are pointers, linked lists, stacks and queues and their implementations using arrays
and linked lists and recursion.",1,2,5
COMP1604,Mathematics for Computing,"This course introduces students to the basic mathematical structures and computational techniques that are considered to be the foundation for courses in computer science and information technology. Students are also taught how to reason logically and how to solve problems using various proof techniques. The main mathematical structures covered are logic, sets, relations and functions.",1,1,5
COMP2601,Computer Architecture,This course builds upon knowledge and skills developed in COMP1600. This course explores how computers from a programmer's view point rather than from the hardware designer's perspective.,2,1,4
COMP2602,Computer Networks,"This course examines some of the important concepts related to computer networks, eg. the network edge and core, routers, the ISO and TCP/IP reference models, for computer communication and networking protocols.",2,1,4
COMP2603,Object-Oriented Programming I,This course provides a comprehensive introduction to the concepts and techniques of object oriented programming. This course introduces the concepts of programming to studens with a background in the procedural paradigm.,2,2,4
COMP2604,Operating Systems,"This course looks at the inner workings of operating systems such as Windows, Ubuntu and Mac OS, both from a theoretical algorithmic point of view as well as a practical system programming point of view. ",2,2,4
COMP2605,Enterprise Database Systems,This course covers the design and implementation of relational database systems. Emphasis is placed on the database design of real world business application using Entity Relationship modelling. ,2,1,4
COMP2606,Software Engineering I,"The specification, development, management and evolution of software systems make up the discipline of software engineering. In this course, students apply methods and tools to develop software designs and specifications. ",2,2,4
COMP2611,Data Structures,A data structure is a way of storing data in a computer so that is can be used efficiently. Data structures is an important part of the equation; Progams = Algorithms + Data Structures.,2,1,4
COMP3601,Design and Analysis of Algorithms,This course covers specific fundamental algorithm-design techniques used to formulate solutions to a wide varitey of problems. It also covers problem-solving techniques for analyzing algorithms to determine space/time requirements. ,3,2,1
COMP3602,Theory of Computing,This course introduces undergraduate Computer Science students to the foundations of theoretical Computer Science. It exposes them to abstractions which can be used to solve complex real world problems.,3,1,4
COMP3603,Human-Computer Interaction,"Human-Computer Interaction is an interdisciplinary field that integrates theories and methodologies from Computer Science, Cognitive Psychology, Design and many other areas. This course is intended to introduce students the student to the basic concepts of human-computer interaction. ",3,1,4
COMP3605,Introduction to Data Analytics,This course provides and introduction to various computational and data mining techniques that are used within the Computer Science discipline to facilitate intelligent decision making and analysis within systems.,3,1,4
COMP3606,Wireless and Mobile Programming,"This course is recommended as an essential part of the ""Net-Centric Computing"" component of the ACM Computing curricula. It looks at the architecture of wireless networks and associated protocols.",3,1,4
COMP3607,Object-Oriented Programming II,The course looks at the main tools of modern object oriented software development. The main tools are: design -support tools (particularly design patterns) and programming-support tools (particularly IDE).,3,1,4
COMP3608,Intelligent Systems,This course provides an introduction to Artificial Intelligenceand its applications. The course concentrates on solving problems associated with AI using data mining and knowledge mining tools.,3,2,4
COMP3609,Game Programming,"The Game Programming course will allow students to combine concepts taught in older courses together with new game programming concepts taught in this course, in order to build games.",3,2,4
COMP3610,Big Data Analytics,The course exposes students to the various approaches used in analyzing big data. The course focuses on the use of data warehouses and distributed databse design to analyse structured data and Hadoop for unstructured data.,3,2,4
COMP3611,Modelling and Simulation,This course covers basic to intermediate techniques for discrete event simulation of common scenarios. It draws on concepts from the Theory of Computing and Computer Programming.,3,2,4
COMP3613,Software Engineering II,"This course is a continuation of of developing skills surrounding software engineering, its principles and practical applications within the Computer Science curriculum.",3,1,4
INFO1600,Introduction to Information Technology Concepts,This is a foundation course in Information Technology and introduces students to the discipline of Information Technology. It describes how it relates to other computing disciplines. ,1,1,4
INFO1601,Introduction to WWW Programming,"This is an introduction to web technologes and systems, including hypertext, self-descriptive text, web design, web navigational systems and various markup languages.",1,2,4
INFO2600,Information Systems Development,"This courses exposes students to the basic concepts of Information Systems and Information Systems development. Throughout the course, information is seen as a valuable corporate resource, one that can be used to maximize profit and improve competitiveness of a business organization.",2,2,4
INFO2601,Networking Technologies Fundamentals,Computer Networks are an indespensible component of any modern Information Technology Infrastructure. This course introduces students to the world of computer networks. Principles and protocols for data communication are covered. ,2,1,4
INFO2602,Web Programming and Technologies I,"This course covers the design, implementation and testing of web-based applications and the incorporation of a variety of digital media into these application. ",2,2,4
INFO2603,Platform Technologies I,This course provides the students with an introductory understanding of the terminology and concepts of operating systems and computer networking.,2,1,4
INFO2604,Information Systems Security,Information Systems Security build upon concepts explored in Computer Programming II. This course explores concepts needed to manage the necessary processes that guarantee information assurance.,2,2,4
INFO2605,Professional Ethics and Law,This course provides and overview of current ethical standards and practices in the computing and information technology area. Students will develop an awareness of both the ethical and legal issues facing the computerized workplace.,2,1,4
INFO3600,Business Information Systems,"The course focuses on Information Systems in terms of business processes. It covers transaction cycles, events, and actions of Revenue, Expenditure, Production and Human Resource business processes. ",3,1,4
INFO3601,Platform Technologies II,"This course builds on operating systems concepts. It provides the student with a more detailed understanding of platform management. Students will be using numerouse administrative tools to install, configure, manage and troubleshoot systems, applications and its services on an operating systems platform. ",3,1,4
INFO3602,Web Programming and Technologies II,This course focuses on the development of web services and the evaluation and utilization of software tools to provide solutions to common business problems withint he marketplace. ,3,2,4
INFO3604,Project,This is course build upon the concepts explored in INFO 2600 or COMP2606. The course requires the student to implement a project of an appropriate scope.,3,2,4
INFO3605,Fundamentals of LAN Technologies,"This course builds on fundamental networking concepts by introducing students to Local Area Network (LAN) switching equipment, protocols and topologies. Students learn about Classless Routing, RIP V2, Single Area OSPF, EIGRP, the Spanning Tree Protocol and differentiate between cut-through and store and forward LAN switching.",3,1,4
INFO3606,Cloud Computing ,This course provides the student with an understanding of virtualizationand its role in both private and cloud technologies. The student will be able to manage virtualization technologies and management of both private public cloud technologies.,3,2,4
INFO3607,Fundamentals of WAN Technologies,"This course introduces WAN theory and design, WAN technology, PPP, ISDN and Frame Relay. Topics include network cogestion problems, TCP/IP transport and network layer protocols and advances routing. ",3,2,4
INFO3608,E-Commerce,This course provides broad coverage of e-commerce systems. It covers the various e-commerce business models and e-commerce payment systems. ,3,2,4
INFO3609,Internship I,This course provides students with an opportunity to develop practical skills through the application of Computer Science concepts within a structured and supervised environment.,3,3,4
INFO3610,Internship II,This course provides students with an opportunity to develop practical skills through the application of Computer Science concepts within a structured and supervised environment.,3,3,4
