course_code,name,percentage,start_week,start_day,end_week,end_day,proctored,category
COMP1600,Midterm Exam,30,5,3,5,3,True,EXAM
COMP1600,Final Exam,40,12,5,12,5,True,EXAM
COMP1601,Assignment 1,20,3,5,3,5,False,ASSIGNMENT
COMP1601,Final Exam,50,11,2,11,2,True,EXAM
COMP2600,Project,30,4,1,8,5,False,PROJECT
COMP2600,Quiz 1,10,6,3,6,3,True,QUIZ
COMP2600,Final Exam,40,12,1,12,1,True,EXAM
COMP2601,Midterm Exam,30,6,4,6,4,True,EXAM
COMP2601,Final Project,40,7,1,10,5,False,PROJECT
COMP3600,Research Paper,40,3,1,9,5,False,ASSIGNMENT
COMP3600,Final Exam,40,11,4,11,4,True,EXAM
COMP3601,Project Proposal,20,4,2,4,2,False,ASSIGNMENT
COMP3601,Final Project,50,8,1,10,5,False,PROJECT 
